PP of Han	Name of han	Location of han	Nazır	Kefil	Number of shops (oda)	Rum shops	Ermeni shops	Yahudi shops
4	Kürkçü Han	Mahmud Paşa kurbunda	Esseyit Ali Ağa ibn-i Mustafa	odabaşı (name illegible)	180			
5	Çorapçı Han	Mahmud Pala kurbunda	Esseyit Ali Ağa ibn-i Mustafa	Esseyit Ali Ağa ibn-i Mustafa 	21			
5	Lüleci Han	-	-	-	1			
5	Sümbüllü Han	Çakmakçılar kurbunda	Esseyit Ahmet Ağa ibn-i Ali	Esseyit Ahmet Ağa ibn-i Ali	52			
6	Büyük Yeni Han	-	El Haç Mehmed Ağa	El Haç Mehmed Ağa	92			
7	Çinili Han	Çakmakçılar sokağında	Esseyit Ahmet Ağa 	Esseyit Ahmet Ağa	16			
7	Valide Han	Çakmakcılar başında	İbrahim Ağa Ahmed	odabaşısı Bogos veled-i Haçadur	125			
8	Küçük Yani Han	-	Esseyit El Hac Hafız Mehmed Ağa	 Esseyit El Hac Hafız Mehmed Ağa	41			
8	Kumrulu Han	-	Esseyit El Hac Mehmed Ağa	Esseyit El Hac Mehmed Ağayı	12			
8	Tahta Han	-	-	-	1			
8	Emir Han	-	Esseyit El Hac Hafız Mehmed Ağa	Esseyit El Hac Hafız Mehmed Ağa	2			
9	Boncukcu Han	-	yirmi altı bölük mütevellisi El Hac Mehmed Ağa 	yirmi altı bölük mütevellisi El Hac Mehmed Ağa	12			
9	Çukur Han	Mercanda	han-ı mezkur mütevelli El Hac Mehmed Ağa nazır		11			
9	Ali Paşa Han	Mercanda	han-i mezkur mütevelli Esseyit Mustafa Ağa		17			
9	Bandıralı Han	Mercanda	han-ı mezkur Ağası Esseyit El Hac Mehmed Sadık Ağa	han-ı mezkur Ağası Esseyit El Hac Mehmed Sadık Ağa	25			
9	Sultan odaları demekle meşhur han	Mercanda	han-i mezkur Ağası Esseyit El Hac Mehmed Sadık Ağa	han-i mezkur Ağası Esseyit El Hac Mehmed Sadık Ağa	42			
10	Mercan Han	(Mercan)	han-i mezkur Ağası Mustafa Ağa 	han-i mezkur Ağası Mustafa Ağa	51			
10	Nalbur Han	Mercanda	Bekçibaşı Esseyit Mehmed Ağası	Birbirine	23			
10	Kadı Kumru Han	-	han-i mezkur Bekçibaşı-ı merkum Esseyit Mehmed Ağası 	Birbirine + nazır	14			
11	Pastırmacı Han	-	han-i mezkur Ağası Mahmud Ağayı	Birbirine + nazır	37			
11	İmam Ali Han	-	Mahmud Ağası	Birbirine + nazır	36			
11	Kızlar Ağası Han	-	cay-ı vukuf El Hac Mustafa Ağa 	Birbirine + nazır	27			
12	Zincirli Han	-	El Haç Mustafa	Birbirine + nazır	74			
12	Perdahtçı Han	-	Han-ı mezkur Ağası El Hac Süleyman Ağa	Birbirine + nazır	29			
13	Kalcılar Han	-	Cemalzade El Hac Mustafa ağa	Birbirine + nazır	53			
13	Darakçı Han	-	Bekri beşe cemaat yoldaşlarından Mehmed Alemdar	Birbirine + nazır	12			
14	Sufçular Han		Sandalcılar Esseyit El Hac Hafez Mehmed Emin Ağa	Birbirine + nazır	59			
14	Yağcı Han	-	Kethüdası merkum Esseyit Hafez Mehmed Emin Ağa	Odabaşı mersum her kar Kefile	30			
14	Cizyedar Han	-	Şam ticari El Hac Mehmed Ağa	Odabaşı-ı mersum Haçadur 	45			
15	Baklalı Han	Tavukpazarında	Kahveci OTUZ BİR BÖLÜĞÜN KORUYAN ALEMDAR	 Odabaşı-ı mersum Matos 	37			
15	Cedit Rubbiye Han	-	Tüccardan Esseyit El-Hac Halil Ağa	odabaşı mersum Ağazade	27			
16	Cadırcı Han	-	ipekçi el-Hac Ahmed Ağa	odabaşı mersum Agop	21			
16	Horoz Ötmez Han	Esir Pazarında	ipekçi el-Hac Ahmed Ağa 	odabaşı mersum Agop 	5			
16	Saraç Han	Tavukpazarında	kahveci Bekri Beşe cemaat yoldaşlarından Mehmed Ağa	odabaşı-ı mersum Azaria 	12			
16	Yağlıkçı Han	-	Kahveci merkum Mehmed Ağa	odabaşı mersum	13			
